job_id,skill_id,required_level,is_mandatory
1,5,2,True
1,13,3,True
1,3,3,True
1,11,4,False
1,14,3,False
1,1,4,False
1,17,4,False
2,20,4,True
2,16,3,True
2,6,4,True
2,7,4,False
2,4,2,False
3,15,2,True
3,16,2,True
3,9,4,True
3,3,4,False
3,5,3,False
3,7,4,False
3,2,2,False
4,10,2,True
4,14,4,True
4,3,4,True
4,20,2,False
5,6,2,True
5,7,2,True
5,4,4,True
5,1,4,False
5,14,4,False
5,20,2,False
5,3,3,False
6,1,4,True
6,4,2,True
6,20,2,True
6,12,2,False
6,5,2,False
6,2,2,False
7,1,2,True
7,19,3,True
7,17,3,True
7,12,4,False
7,2,4,False
8,1,2,True
8,6,3,True
8,20,4,True
8,15,3,False
8,13,3,False
8,10,4,False
8,5,2,False
9,3,3,True
9,7,2,True
9,12,4,True
9,9,2,False
9,17,2,False
10,11,3,True
10,5,4,True
10,14,4,True
10,18,4,False
10,6,3,False
10,9,4,False
11,19,4,True
11,9,3,True
11,6,4,True
11,18,4,False
11,1,2,False
11,3,3,False
11,2,3,False
12,20,3,True
12,4,2,True
12,8,2,True
12,19,4,False
12,14,2,False
13,13,4,True
13,7,2,True
13,18,4,True
13,6,2,False
13,11,4,False
13,4,3,False
13,15,2,False
14,17,2,True
14,3,2,True
14,12,3,True
14,19,3,False
14,8,4,False
15,9,3,True
15,6,2,True
15,10,3,True
15,4,3,False
16,19,2,True
16,14,3,True
16,17,4,True
16,5,2,False
16,13,4,False
17,18,3,True
17,14,2,True
17,16,2,True
17,2,2,False
17,3,2,False
17,9,4,False
17,7,2,False
18,11,2,True
18,20,2,True
18,4,3,True
18,14,4,False
18,17,2,False
18,12,2,False
19,17,4,True
19,14,4,True
19,1,3,True
19,12,3,False
20,19,3,True
20,7,2,True
20,18,4,True
20,15,2,False
20,3,4,False
20,1,4,False
21,19,3,True
21,14,3,True
21,8,4,True
21,13,3,False
21,10,2,False
21,11,3,False
21,15,4,False
22,13,2,True
22,3,3,True
22,11,2,True
22,2,3,False
23,5,2,True
23,4,3,True
23,17,3,True
23,9,4,False
24,12,3,True
24,7,4,True
24,17,4,True
24,14,2,False
24,15,4,False
24,20,3,False
24,13,3,False
25,15,4,True
25,6,4,True
25,3,2,True
25,16,3,False
25,12,2,False
25,2,2,False
26,8,4,True
26,12,3,True
26,11,4,True
26,9,4,False
26,19,3,False
26,15,3,False
27,8,4,True
27,2,4,True
27,20,3,True
27,19,4,False
27,15,2,False
28,15,2,True
28,9,2,True
28,5,4,True
28,17,3,False
28,13,2,False
